,Model22,Model51,Model57,Model66,Model156,Model178,Model217,Model222,Model316,Model378,Model404,Model424,Model488,Model500,Model617,Model631,tr
165405,0.153060615,0.001721919,0.478965878,0.002334121,0.172685117,0.168847859,0.136124238,0.207113177,0.206175908,0.840687692,0.156084672,0.184541196,0.179419488,0.358662695,0.199787259,0.299653709,1
165410,0.998031437,0.943403482,0.859011233,3.13E-06,0.971947849,0.994520366,0.999834538,0.997420311,0.998645365,0.996737063,0.992602527,0.949611604,0.988937378,0.899733722,0.99802655,0.950109959,1
165435,0.460918337,0.816749811,0.597976506,0.042144883,0.807287753,0.743319809,0.315692097,0.658884346,0.304380804,0.757513404,0.48623842,0.960095406,0.363044322,0.475362927,0.919624925,0.541629016,0
165443,0.99917233,0.985934854,0.901757658,0.000481913,0.997274578,0.996815503,0.99178195,0.99552083,0.999836326,0.999999285,0.996935368,0.99999404,0.992514431,0.932589173,0.969854951,0.917360246,0
165476,0.990011156,0.610910654,0.798615277,1.07E-05,0.610434651,0.794547856,0.986137927,0.896315336,0.991747618,0.999999881,0.884056211,0.77809906,0.998622656,0.803655922,0.491632104,0.828471422,1
165481,0.997091413,0.844601572,0.676175356,0.423174798,0.979019821,0.885829508,0.994050562,0.629283667,0.852189362,0.999114811,0.949549198,0.999774516,0.812460959,0.721860111,0.997008502,0.772384107,1
165594,0.153054178,0.301857412,0.484264284,0.000504376,0.634231091,0.168966651,0.136114746,0.20711261,0.206547365,0.833353162,0.156224802,0.184541181,0.179431379,0.357627004,0.199787274,0.299654394,0
165599,0.153052494,0.000777508,0.48790133,0.001422843,0.172678247,0.168868184,0.136113092,0.207105517,0.20606339,0.993348658,0.156212389,0.184541881,0.179408342,0.399546921,0.199785903,0.299654126,1
165642,0.997392893,0.955060661,0.548529506,0.000135802,0.5942204,0.706081867,0.973350286,0.727614343,0.896209061,1,0.954846025,0.926234365,0.87130636,0.746619284,0.468533397,0.389925271,1
165687,0.153101549,0.096774794,0.847361386,0.100447983,0.370294064,0.168987721,0.136115626,0.253787786,0.949298918,0.999996066,0.684449375,0.444235563,0.179432854,0.799482465,0.201917067,0.452948689,1
165742,0.153051466,0.830792248,0.47575739,0.023679681,0.981064737,0.707178295,0.897156417,0.70749414,0.36164844,0.500240386,0.892768025,0.872036636,0.746304274,0.6569677,0.55886513,0.49181059,1
165810,0.990466475,0.151607901,0.643161714,0.17935276,0.629976392,0.16901277,0.620685577,0.451309323,0.530021667,0.999999881,0.787176549,0.856697559,0.179474801,0.811013818,0.199791253,0.688403726,1
165811,0.1554351,0.000320767,0.468555748,0.000360004,0.274655253,0.168888867,0.136254236,0.207112804,0.217026398,0.982558846,0.156221449,0.184540913,0.179453075,0.356530696,0.199792773,0.32862854,0
165821,0.999876142,0.97530508,0.861165404,3.25E-05,0.990671158,0.985578895,0.995164394,0.990400493,0.999502778,0.999941349,0.931323111,0.75984484,0.99695009,0.864560544,0.959674954,0.950447738,1
165831,0.999910355,0.77865988,0.816026747,0.08263851,0.995129824,0.983684421,0.946061194,0.820353031,0.966878176,0.999918222,0.979222536,0.973139763,0.729213119,0.824201405,0.988470078,0.839424729,1
165856,0.983685136,0.556739092,0.47914961,0.206829727,0.954154551,0.806669593,0.983399034,0.873536646,0.972840965,0.902943432,0.981716216,0.669785738,0.975577772,0.665216148,0.754000962,0.766228378,1
165863,0.999664426,0.986269057,0.866493106,0.000688631,0.999980092,0.978879631,0.998979747,0.996399283,0.999257982,0.999989986,0.999431193,0.945959628,0.999936938,0.924274504,0.999840498,0.95706588,0
165910,0.859205246,0.085711524,0.61444968,0.002162948,0.172691286,0.603507817,0.68610841,0.207110614,0.748269379,0.999999166,0.62848103,0.184539184,0.179455489,0.365301132,0.603547454,0.543804348,1
165930,0.430954546,0.961875439,0.931205034,0.000362039,0.994787574,0.414421171,0.760751009,0.450585872,0.460156709,0.999998569,0.999909282,0.999989152,0.567670882,0.87483871,0.969875574,0.783896983,1
165944,0.995771706,0.993682861,0.887052417,3.54E-05,0.999884605,0.976608515,0.999832392,0.99931407,0.999959588,0.999991894,0.992431402,0.850739658,0.99988842,0.94897449,0.999763668,0.975590467,0
165970,0.952124834,0.877006829,0.544140518,0.001309538,0.873002231,0.610088348,0.943286777,0.645665646,0.770775855,0.999858856,0.890421808,0.846207917,0.916278064,0.693513274,0.873286605,0.647375047,1
166013,0.891694188,0.969073594,0.707530141,0.000316107,0.740223348,0.928502023,0.997750819,0.94220835,0.999905109,0.989092469,0.913174093,0.561850429,0.18668817,0.491050124,0.776991725,0.782256246,0
166026,0.5279544,0.915143788,0.467865586,0.093206339,0.729377329,0.698711097,0.798362911,0.633245468,0.410723954,0.999933362,0.916079044,0.184540838,0.85849756,0.487240106,0.898202717,0.693204165,0
166035,0.793021023,0.019645078,0.479129195,0.002473425,0.172687709,0.168820962,0.13617447,0.207107708,0.206503004,0.999979973,0.96260637,0.18454282,0.179408982,0.35881409,0.199780568,0.299654007,0
166039,0.228727892,0.013181585,0.47900188,0.000456958,0.172703326,0.168947354,0.136120141,0.207112938,0.206148684,0.271868438,0.15613842,0.184541196,0.179431483,0.357633859,0.199788809,0.299654096,1
166060,0.94473809,0.377949804,0.481014371,0.00029371,0.252437085,0.168901831,0.136317894,0.319902658,0.936677873,0.997968495,0.35552296,0.463578522,0.179442346,0.573041975,0.749354839,0.889861226,1
166074,0.999998093,0.994213045,0.92305994,0.00300902,0.999826014,0.999453604,0.999976516,0.998419285,0.999999762,0.967495859,0.999468029,0.963215947,0.999983549,0.984137535,0.999188244,0.988556325,0
166079,0.153251588,0.829537928,0.470394403,0.00884162,0.635140121,0.444017857,0.136133999,0.482493877,0.381847709,0.990868211,0.968131185,0.596037269,0.179433674,0.357138604,0.615337551,0.594957888,0
166084,0.978222132,0.68809849,0.824175775,0.041788787,0.961276233,0.680308759,0.902605593,0.958212912,0.84640342,0.788604677,0.828124762,0.99999702,0.646340847,0.873590946,0.874752939,0.714286864,1
166089,0.994422257,0.750090063,0.812492311,5.45E-05,0.999287665,0.929839015,0.978381872,0.773543835,0.98361522,0.999991655,0.986100972,0.990323663,0.282803118,0.755236626,0.953317642,0.619009554,1
166158,0.738991022,0.96410495,0.47893548,0.118427306,0.538659096,0.824549317,0.471623391,0.651791632,0.607375026,0.952037275,0.876196027,0.220104203,0.272883147,0.534619093,0.862187266,0.564937532,1
166172,0.977107644,0.007249196,0.504394174,0.02218304,0.172705263,0.718148589,0.920624375,0.579444349,0.280828744,0.978484809,0.424274057,0.184540808,0.966699898,0.631475031,0.552213132,0.605322599,1
166199,0.99355197,0.857202291,0.650246263,0.595394135,0.999771535,0.545520961,0.989856958,0.804597139,0.987972856,0.824905455,0.995408237,0.898479581,0.972254872,0.859265149,0.936891496,0.688217819,1
166218,0.986845613,0.086402521,0.47990936,0.017641604,0.896118164,0.766930103,0.906803489,0.737037301,0.861572266,0.9773646,0.948817551,0.184543416,0.787079394,0.572064877,0.60611707,0.678373039,0
166321,0.991137624,0.912034094,0.556295156,0.001459197,0.958683133,0.220633015,0.999728382,0.515536666,0.996447563,1,0.792542398,0.99976939,0.620050013,0.830982685,0.199779063,0.608712196,1
166340,0.92672497,0.952631712,0.672162294,0.000143646,0.7966851,0.482372791,0.932213604,0.885980427,0.486327767,0.991289496,0.900596499,0.339077353,0.900374115,0.813432038,0.695376515,0.716815531,1
166380,0.153052106,0.115184098,0.473436683,0.002234954,0.867356598,0.372380406,0.354226559,0.313274145,0.865841031,0.996547043,0.52299881,0.433404028,0.558826983,0.541917861,0.750801444,0.480593413,0
166385,0.964250803,0.886655807,0.472229153,0.000284107,0.671839893,0.826149642,0.925228357,0.692079782,0.940838814,0.999545038,0.675457358,0.241129428,0.930245697,0.674825132,0.952368438,0.563544512,1
166390,0.942600071,0.907787681,0.669482827,6.77E-05,0.9947142,0.995364189,0.947842956,0.861501694,0.999281228,0.999187768,0.962956607,0.999423265,0.956465185,0.85457617,0.925955296,0.712025046,1
166392,0.928565025,0.028517982,0.474842012,0.010935785,0.172705159,0.413187861,0.819393158,0.627261281,0.621274889,0.952563107,0.272476792,0.18454051,0.303905249,0.645784736,0.84971875,0.604204834,0
166398,0.997964025,0.893007696,0.477172434,0.002162617,0.998594344,0.999408841,0.983740509,0.648824334,0.999676466,0.999793112,0.850174248,0.999716818,0.999815166,0.661119163,0.995885074,0.638198853,1
166409,0.36597836,0.012503976,0.565790057,0.01649406,0.953273892,0.690608323,0.208337411,0.579123557,0.505420327,0.685268402,0.342235088,0.306741267,0.23030965,0.792687535,0.591959059,0.336053818,0
166446,0.506862879,0.766043484,0.468197584,3.37E-06,0.999967694,0.169012129,0.99704653,0.808065116,0.596572757,1,0.996787548,0.999214411,0.998087049,0.466734707,0.199782148,0.389408469,0
166461,0.997580409,0.979863644,0.712235093,0.000342192,0.97829926,0.997614861,0.999659181,0.998022914,0.999961257,0.991339505,0.98130095,0.786556065,0.955835879,0.863006532,0.981087685,0.846205711,1
166466,0.904063761,0.336596489,0.49455592,0.00256794,0.779504955,0.168900773,0.136116192,0.207112461,0.206139475,0.961006105,0.160993487,0.184541121,0.622217894,0.358395368,0.199783534,0.299654424,1
166472,0.899494827,0.374860078,0.501223266,1.72E-05,0.578329802,0.751962662,0.871026695,0.734135032,0.905672133,0.994371891,0.790207624,0.44249475,0.518487334,0.618467569,0.679052889,0.540242851,1
166476,0.9978351,0.963312805,0.823291719,0.000133398,0.999750674,0.958048582,0.986039639,0.886837184,0.999562681,0.998567104,0.940702975,0.993842363,0.992950559,0.816703498,0.980501831,0.926499069,0
166484,0.999968648,0.994084299,0.917890429,0.001838195,0.998404443,0.999575198,0.999832511,0.996542275,0.999773562,0.999645233,0.997522295,0.997969806,0.999905825,0.967628419,0.924435914,0.979428232,1
166487,0.237072513,0.02744516,0.506373167,0.00281401,0.715862155,0.169014394,0.260575265,0.25640893,0.720277667,0.996600449,0.290288419,0.442162931,0.233060881,0.523874581,0.623564661,0.351080179,1
166488,0.967946112,0.148772746,0.47382167,0.000254589,0.172705129,0.995448053,0.136113927,0.272481173,0.557724416,0.961727023,0.31814155,0.184541151,0.179447249,0.35711202,0.199788392,0.300200164,1
166492,0.999214649,0.976286709,0.570151627,0.504335165,0.999089956,0.969097733,0.999940991,0.825888395,0.999873042,0.924773335,0.972874582,0.869975924,0.999969244,0.830177069,0.383702815,0.868230581,1
166503,0.999999881,0.997240543,0.874145508,0.771441936,0.999981761,0.168859407,0.998275399,0.928021371,0.999787271,0.960782349,0.99839133,0.967505574,0.99812001,0.702572644,0.999038815,0.870256364,0
166525,0.183783695,0.993302345,0.923826814,0.089263231,0.999855518,0.999962807,0.972472727,0.978795111,0.999869585,0.999996781,0.5330742,0.999999881,0.352250338,0.97657758,0.955348313,0.897102654,1
166539,0.951347888,0.804051101,0.637184978,0.060215708,0.930982769,0.654423118,0.998876274,0.944395363,0.998991787,0.999968529,0.982439399,0.739067316,0.877931774,0.730520189,0.763924122,0.916409552,1
166544,0.999139905,0.916900218,0.523109555,2.25E-07,0.95579493,0.998924077,0.999640226,0.998132527,0.99926728,0.999986529,0.999297976,0.887047172,0.978748083,0.690185666,0.96930939,0.519448757,1
166551,0.153476357,0.273027956,0.475530177,3.71E-05,0.808053195,0.780456126,0.136114314,0.213823706,0.932080805,0.898409426,0.156218782,0.733147323,0.17947419,0.356813371,0.745738208,0.329768568,0
166553,0.174966067,0.684330463,0.53740561,6.78E-05,0.176537991,0.2127534,0.287876964,0.94461602,0.842794478,0.999968648,0.794023812,0.184539869,0.179455176,0.522034943,0.207348853,0.516380847,1
166569,0.998816252,0.945643187,0.875101626,5.20E-05,0.998134315,0.922861099,0.996783495,0.9895069,0.996075094,0.999754727,0.9799335,0.999999166,0.182799548,0.93410778,0.985900104,0.940071523,1
166573,0.47279188,0.932706952,0.572533488,0.148176908,0.553372443,0.979632854,0.87194711,0.653076291,0.791513741,0.999999285,0.942116618,0.50392127,0.991494179,0.460517287,0.995512903,0.485730678,1
166579,0.877177656,0.994419158,0.476204932,0.02110615,0.879431427,0.813466907,0.96912998,0.914298773,0.991009951,0.986652434,0.996571541,0.826781511,0.855961919,0.357494533,0.982602596,0.893835843,1
166586,0.30962801,0.323316872,0.638018191,8.35E-05,0.172705129,0.169012129,0.171390533,0.694271922,0.206961989,0.999999881,0.954462111,0.280814648,0.179473996,0.680640936,0.464279085,0.483179033,1
166588,0.995925546,0.994881868,0.820469141,0.000941344,0.974321187,0.961407244,0.994845271,0.986112297,0.979222775,0.999977827,0.99896884,0.999864459,0.999842048,0.915995002,0.998411536,0.940784335,1
166596,0.989187062,0.718591094,0.469152987,0.000837818,0.933929384,0.447225481,0.972325861,0.900227427,0.951001227,0.999998808,0.961506963,0.884269655,0.993856966,0.729469657,0.768483937,0.659562051,1
166601,0.854035676,0.935255647,0.714027405,0.018459465,0.239497572,0.99039638,0.969979167,0.964629054,0.947842836,0.999144554,0.987966955,0.965534031,0.59349066,0.766439736,0.978823423,0.762635052,1
166680,0.157327935,0.900671363,0.693307459,6.59E-05,0.921542108,0.857368052,0.203475088,0.948244095,0.998889029,0.569970429,0.994686842,0.972675681,0.380924225,0.773718476,0.785212278,0.821086228,1
166701,0.991079032,0.986310482,0.879533768,0.004083962,0.99739635,0.829829693,0.988085866,0.984817684,0.999564707,0.999955177,0.997585893,0.446434319,0.828601658,0.940033376,0.969605863,0.788783312,0
166710,0.90918541,0.624706268,0.907937586,0.247573897,0.991372347,0.936793864,0.958842039,0.980998695,0.999246716,1,0.999361575,0.995137632,0.920192778,0.974618196,0.972839594,0.919310093,1
166741,0.989655972,0.975369871,0.592022538,0.083775476,0.999902368,0.906331778,0.915284872,0.999028444,0.999879122,0.999996424,0.99693042,0.996157229,0.999973178,0.864809692,0.999667048,0.868452609,1
166744,0.953204095,0.301628113,0.682507098,0.021908594,0.497598827,0.498474628,0.707712531,0.496135443,0.42352891,0.921342313,0.610750258,0.999614477,0.332609743,0.678236663,0.748000503,0.52204144,1
166756,0.508415163,0.903639376,0.899792671,6.68E-05,0.874972582,0.786954224,0.916144252,0.951120853,0.888397694,0.999804795,0.997860968,0.999607861,0.561159074,0.894216001,0.99295783,0.760320067,1
166778,0.99957341,0.829847991,0.901678801,0.002742891,0.771284997,0.868186235,0.908896923,0.982450366,0.945765197,0.99732542,0.901198983,0.999999046,0.982400298,0.903933525,0.970968127,0.899868071,1
166802,0.312521935,0.883292377,0.776454091,0.247113243,0.81469506,0.792117298,0.996736228,0.787438571,0.719832659,0.952224255,0.987585425,0.999019623,0.851057887,0.80238235,0.524904966,0.730472744,1
166809,0.741419077,0.638825119,0.471657604,0.092083462,0.334661424,0.554633081,0.964937508,0.506362975,0.68259722,0.911952794,0.949010015,0.974761665,0.675674498,0.357197315,0.88738203,0.448737383,1
166815,0.99793005,0.585078597,0.693493128,0.002586884,0.989404202,0.891357362,0.956417501,0.469213963,0.979453266,0.974446893,0.92504555,0.990326822,0.651160777,0.902523041,0.863153756,0.633452058,1
166831,0.999772251,0.986095607,0.474849284,0.000336256,0.972564816,0.98552376,0.999167204,0.997062624,0.99995327,0.87754178,0.999328136,0.937119484,0.999938965,0.862528026,0.948262393,0.815452814,1
166850,0.999477088,0.977134049,0.733925819,0.001341848,0.999919653,0.865108609,0.99325633,0.990266621,0.997772038,0.999978662,0.999230862,0.454825997,0.996680379,0.889179468,0.997795463,0.951946735,1
166863,0.989197195,0.974941134,0.883315623,3.23E-06,0.999054372,0.765016377,0.97467649,0.997509956,0.99627918,0.999999285,0.999892712,0.999719083,0.985742211,0.896655619,0.999845743,0.82198602,1
166972,0.999842286,0.607337952,0.775019944,6.35E-07,0.928882599,0.982701361,0.996352792,0.931509554,0.891904771,0.999985576,0.993917823,0.884908676,0.999674439,0.889854074,0.962563396,0.830789268,0
166975,0.171928972,0.074534498,0.474594563,0.006902821,0.741062224,0.261781871,0.347126693,0.32255131,0.62254703,0.980930746,0.60634011,0.356365383,0.634522259,0.694967747,0.543732584,0.327645481,1
167108,0.153055757,0.099015273,0.622527122,4.80E-05,0.644610047,0.967890561,0.518703163,0.591716051,0.999048293,0.999539733,0.926390111,0.301102966,0.862178683,0.634839773,0.968790293,0.409098953,1
167119,0.484309584,0.136828616,0.804167926,0.396285027,0.38062346,0.446663082,0.850047529,0.432001621,0.863716662,0.275050879,0.655518353,0.184540808,0.402156293,0.73201412,0.571912289,0.596316636,1
167144,0.99998033,0.95739001,0.84394449,0.017257506,0.998900175,0.99645859,0.999526143,0.984597802,0.999779403,0.998277187,0.996764302,0.94362998,0.999917269,0.93938148,0.964009345,0.94527185,0
167153,0.153068542,0.143580765,0.496591985,1.21E-05,0.1726771,0.168918908,0.705815673,0.20710884,0.898651004,1,0.938993335,0.18453826,0.179457188,0.462787062,0.200589731,0.5690521,1
167159,0.508483529,0.943679869,0.475994587,0.016708158,0.195736319,0.915302753,0.570976317,0.974335313,0.921440303,0.998823345,0.998752952,0.568505883,0.849795401,0.416794181,0.939899743,0.416209817,1
167169,0.550811589,0.977327585,0.711412191,9.43E-06,0.469979733,0.168949693,0.98629725,0.797626793,0.992262244,1,0.998286545,0.18453905,0.179459244,0.729318976,0.199777558,0.814804971,1
167174,0.504362345,0.00297617,0.676148653,0.000476804,0.172704652,0.169016078,0.136137322,0.241016567,0.556249917,0.998828471,0.156206176,0.184540674,0.17947349,0.370651692,0.199778542,0.329696983,1
167229,0.999928832,0.991506159,0.93108958,1.35E-05,0.999353349,0.997968376,0.998037279,0.994853675,0.999164224,1,0.975127578,0.999999881,0.818177938,0.985387981,0.988492668,0.959327281,1
167238,0.999984264,0.640235662,0.721639276,0.691273153,0.980943382,0.999980807,0.999705017,0.998028934,0.999842882,0.989125848,0.999875188,0.999883175,0.999786317,0.947301745,0.997471988,0.936831951,1
167254,0.710537493,0.944209039,0.481147766,0.002669876,0.80488807,0.786695182,0.390339881,0.700199008,0.834922552,0.962586343,0.954638839,0.639026761,0.527966619,0.622347653,0.776144803,0.623425543,1
167255,0.962415397,0.914476156,0.504983842,0.006682866,0.880644262,0.966309249,0.994690478,0.868224144,0.992903411,0.26773569,0.95762825,0.819057405,0.958298743,0.777901888,0.947726846,0.686638772,1
167261,0.99979955,0.915557981,0.740656793,0.166023567,0.667068303,0.998526216,0.998766422,0.948792875,0.99997139,0.358169198,0.984480858,0.986081839,0.988002539,0.852383673,0.929459512,0.83061552,1
167273,0.999766648,0.990011632,0.931301296,7.59E-05,0.999523759,0.999995232,0.999997854,0.999895811,0.999999881,0.999999166,0.999956131,0.999616385,0.997207463,0.941814184,0.99945575,0.859604418,1
167278,0.984829009,0.969313562,0.777787328,1.56E-05,0.999796927,0.993005872,0.998561084,0.984348238,0.999922872,0.999993205,0.999858141,0.968495667,0.996804595,0.912977576,0.997727811,0.906458497,1
167292,0.999941707,0.999040425,0.922601879,0.000271448,0.992969334,0.999986172,1,0.999839902,0.999999881,0.871373773,0.999996781,0.999829769,0.999963522,0.983090281,0.999202073,0.978027582,0
167300,0.995861351,0.94300133,0.880433202,0.006956251,0.999910355,0.99982363,0.999921203,0.928650618,0.999839306,0.981696367,0.999982953,0.989695668,0.996369243,0.945346951,0.995459497,0.947302938,1
167345,0.153053835,0.009252251,0.488999635,0.008456104,0.172693148,0.168964252,0.136116892,0.207105905,0.638991117,0.254289567,0.156291485,0.184541062,0.179416075,0.358251333,0.199785754,0.394641727,1
167379,0.99681747,0.931381345,0.861262918,0.771441936,0.996077597,0.960362971,0.995764971,0.986920118,0.999721825,0.877200246,0.93177259,0.491961956,0.998731792,0.880589545,0.950413823,0.922776222,0
167435,0.967168808,0.254154414,0.486675173,0.023568779,0.172705129,0.999862432,0.168165162,0.245051339,0.854328573,0.995134652,0.72041285,0.598443806,0.179448903,0.608591974,0.42964682,0.342633009,1
167438,0.999132454,0.956266403,0.585723221,0.081698202,0.964895129,0.9963696,0.999648929,0.948321879,0.98430115,0.695565283,0.99452579,0.890874147,0.99793601,0.809585989,0.98516798,0.897372246,1
167448,0.510560095,0.006582896,0.480181277,1.82E-10,0.172697231,0.168895781,0.136133343,0.207111657,0.206029579,0.999999881,0.297137797,0.184541285,0.179442123,0.361572057,0.199785516,0.299972028,1
167454,0.48947078,0.935065269,0.497288555,0.091457486,0.991074741,0.950726271,0.992118835,0.983052611,0.999031186,0.999976277,0.998087823,0.820169449,0.694043577,0.457811803,0.804810107,0.657880366,0
167462,0.422634631,0.107218437,0.475651473,8.17E-05,0.79394263,0.470109195,0.136113495,0.365390867,0.442170829,0.999534726,0.790111423,0.184541136,0.179442778,0.446677029,0.513769388,0.330078214,1
167526,0.194964826,0.285376221,0.510169983,0.771441996,0.924877226,0.893302619,0.461916864,0.252971739,0.842287838,0.996364415,0.409073919,0.184541136,0.459747225,0.442140341,0.800716937,0.551734865,1
167527,0.96889931,0.374994338,0.680970252,0.771441936,0.788534582,0.586679101,0.804955065,0.473901063,0.606641412,0.769382775,0.716805696,0.963292658,0.763834596,0.610818744,0.667049527,0.770796835,1
167565,0.433714241,0.549811602,0.493299842,0.000333303,0.527109146,0.506513834,0.615858078,0.289953679,0.212232396,0.98606354,0.829687357,0.751055658,0.549923241,0.519864202,0.255166233,0.614940107,0
167579,0.99952352,0.995690763,0.885916173,0.074785978,0.998672128,0.994942248,0.995890856,0.999614716,0.999996424,0.999999881,0.999262869,0.998808503,0.994957387,0.917609394,0.986657441,0.971173346,1
167586,0.993590236,0.956938386,0.624952018,0.062290475,0.993487954,0.994728029,0.998855472,0.569713891,0.996258259,0.7295717,0.997445464,0.999378204,0.999582112,0.794626951,0.993912458,0.631354809,1
167605,0.312427908,0.723229825,0.674974561,0.743347108,0.952429533,0.931695163,0.952033818,0.73866874,0.859621346,0.275050879,0.904478431,0.613782108,0.68124342,0.885504007,0.797132432,0.470618904,1
167609,0.723121703,0.822730124,0.492835373,0.047027908,0.861284852,0.201284483,0.2969217,0.440986514,0.512861967,0.999836087,0.49525404,0.184540138,0.179475784,0.613290727,0.529864788,0.531036198,1
167611,0.651360512,0.994767427,0.902341723,0.00014791,0.995950937,0.970890105,0.99827683,0.999909401,0.999471962,0.999999881,0.999976397,0.999999881,0.976630688,0.907859981,0.99983871,0.739937663,0
167626,0.997588396,0.696501613,0.703191698,0.666551828,0.999759614,0.989202201,0.932771981,0.609781742,0.990736663,0.793484151,0.994840086,0.988014996,0.987573326,0.826665878,0.990021408,0.612056315,1
167656,0.999697328,0.993127108,0.886712015,0.022674298,0.984294236,0.976074159,0.961880147,0.998034179,0.999951243,0.998919368,0.997321188,0.999154568,0.998547137,0.941662669,0.981518507,0.955796361,1
167709,0.999983668,0.986632586,0.913615286,0.085151032,0.999809206,0.998705745,0.999892592,0.994528592,0.999950767,0.986391664,0.999517918,0.996209145,0.999981403,0.972894192,0.999453247,0.970935822,1
167751,0.395612568,0.189966157,0.474647135,0.045757823,0.535747528,0.269453853,0.378187984,0.446667045,0.549614489,0.94505012,0.399515599,0.304185271,0.252433985,0.410154641,0.199792936,0.328287423,1
167754,0.99833411,0.969877243,0.768830895,0.771441817,0.990786612,0.321094424,0.998223603,0.89029181,0.999887109,0.638931155,0.999909878,0.967515588,0.970751107,0.943491757,0.991238415,0.739716351,1
167758,0.153048486,0.850422144,0.599169791,0.10222587,0.985624313,0.946895301,0.996158063,0.534109831,0.528699756,0.951053321,0.970683515,0.927124143,0.391666412,0.513216615,0.432145834,0.501343191,1
167772,0.780021429,0.692515612,0.476077497,0.012157668,0.532656729,0.269945085,0.18011342,0.20711261,0.212713107,0.819737613,0.320313513,0.184540957,0.179476514,0.539099097,0.441870242,0.331370085,1
167774,0.723790288,0.925520122,0.59132725,0.001384994,0.999596059,0.969766021,0.767107964,0.872292101,0.99244833,0.999550641,0.990578473,0.999228001,0.995553553,0.673700869,0.977473617,0.610921323,1
167888,0.81631887,0.053966917,0.469194263,0.725623131,0.789180934,0.169013172,0.349350125,0.265317202,0.736353874,0.906103373,0.432094157,0.364808917,0.179474622,0.370550364,0.287164003,0.329939783,1
167897,0.759040713,0.006044524,0.56056726,0.241220325,0.963963628,0.168829858,0.136196136,0.207105383,0.206252277,0.273093641,0.15495804,0.184541374,0.179443389,0.675544918,0.199781641,0.299654007,0
167898,0.77214402,0.502365768,0.520747185,0.006847042,0.353152364,0.169013232,0.440468907,0.496925652,0.206965238,0.739745796,0.991845906,0.903117836,0.819253027,0.592110038,0.430142581,0.388772577,1
167914,0.591168106,0.016884381,0.47130844,8.65E-05,0.275157511,0.223460153,0.136108115,0.20711042,0.270496309,0.999763191,0.173603252,0.184540391,0.17947118,0.394148886,0.199785456,0.328756392,1
167917,0.998969316,0.993700385,0.845882833,0.527700961,0.999912977,0.995787203,0.999753058,0.996860743,0.997662425,0.999992251,0.99998486,0.998805165,0.999958992,0.96076256,0.999905467,0.86287868,1
167970,0.88848716,0.957496524,0.939842045,1.67E-05,0.975562811,0.999824107,0.99338299,0.992796719,0.998207331,0.999998808,0.999369204,0.999998689,0.323288381,0.879096508,0.999845028,0.902527034,1
167976,0.998035729,0.881692052,0.47734344,0.028286496,0.692457914,0.389778107,0.709124625,0.928732812,0.904902279,0.999998212,0.998524249,0.184541285,0.636103272,0.49018082,0.748017251,0.635694802,1
167977,0.999853611,0.97759366,0.812851369,0.00070195,0.99878794,0.828466773,0.99979943,0.995517313,0.99999094,0.999996066,0.999927282,0.999265015,0.99996388,0.956826508,0.891894341,0.950769305,1
167979,0.997838438,0.961492181,0.602868497,0.012631633,0.99729532,0.953511178,0.999832034,0.826037228,0.991613865,0.999949217,0.947321773,0.999956965,0.993690252,0.84915483,0.991515636,0.328785211,1
167982,0.948752284,0.980860233,0.476329893,0.004898256,0.510333896,0.196034864,0.136119157,0.87427032,0.589532435,0.999998808,0.997336686,0.18454124,0.179402679,0.374605119,0.19978179,0.484324515,0
167989,0.153060287,0.000602807,0.526557028,0.001340761,0.211793497,0.190000415,0.136122718,0.207109511,0.206971496,0.999999762,0.156222969,0.184548378,0.179453522,0.360128075,0.202501863,0.332232982,1
167990,0.153048486,0.850261271,0.545873463,0.006594718,0.704441309,0.990500569,0.996400714,0.992381394,0.999835134,0.98995626,0.981311738,0.698701918,0.991357565,0.682345152,0.955385208,0.520428836,1
167995,0.999965072,0.96342355,0.895336866,0.048050698,0.999658823,0.999530196,0.999601424,0.994233787,0.999976754,0.99010998,0.999416709,0.952845216,0.999983191,0.964455247,0.995075881,0.965463459,1
168004,0.153048947,0.951806843,0.471957266,6.10E-05,0.242053643,0.16901207,0.849561274,0.620604575,0.54801029,0.963760912,0.776184499,0.184541136,0.67403692,0.356476039,0.628406525,0.383294255,1
168012,1,0.996701181,0.962032318,1.76E-05,1,0.999998808,0.999998808,0.999832153,1,0.999992371,0.999999881,1,0.999524951,0.975359082,0.999998212,0.980231464,1
168014,0.968361735,0.969902158,0.874289095,0.000266493,0.999991655,0.996677399,0.852006257,0.99905318,0.999037147,0.999999881,0.984291315,0.999997854,0.99932909,0.73955512,0.999433935,0.512168884,1
168027,0.999999881,0.999609768,0.982347846,0.771441936,0.999622941,1,1,0.999991655,1,0.97384882,0.999959588,1,0.999999166,0.973145187,0.999984026,0.997825921,0
168055,0.999520779,0.977434754,0.782661617,0.125728488,0.999979138,0.992546856,0.997754157,0.990617812,0.944467485,0.999985695,0.999264538,0.976740539,0.9978562,0.809588492,0.999869823,0.873846769,1
168065,0.980791628,0.220428184,0.471215993,0.491660714,0.484574467,0.169015214,0.873690665,0.892887175,0.998273969,0.900483668,0.993708968,0.520336628,0.982572913,0.655532777,0.735634923,0.743613005,1
168074,0.994784892,0.908757508,0.831330001,0.000528505,0.999953985,0.508471549,0.9942047,0.999863863,0.99864918,0.999790967,0.999627829,0.999842882,0.97499007,0.836069822,0.989437819,0.834484041,1
